idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-15123;24_15123;;Vérification et maintenance des moyens de lutte contre l'incendie du patrimoine de la Ville d'Ermont, des Syndicats Intercommunaux Jean-Jaurès et Van Gogh;24-15123;JOUE;['95'];;Marchés européens;2024-02-08;2024-03-15;2024-03-14T10:00:00+00:00;Mairie d'Ermont;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['217'];['217'];"[""Matériel de secours et d'incendie""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15123;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15123.pdf
24-15133;24_15133;;Transport du personnel de l'Ineris;24-15133;JOUE;['60'];;Marchés européens;2024-02-08;2024-03-07;2024-03-07T13:00:00+00:00;Institut National de l'Environnement Industriel et des Risques;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15133;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15133.pdf
24-14863;24_14863;;Appel à candidature pour l?acquisition d?un système de gestion de la pollution dans les bassins des Ports de Commerce de Bastia et de l?Ile-Rousse et des prestations annexes.;24-14863;JOUE;['20B', '20A'];;Marchés européens;2024-02-08;2024-02-23;;CCI de Corse;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14863;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14863.pdf
24-14889;24_14889;;Aide à la décision stratégique et appui au management au profit de Solutions&co, Agence de développement économique de la Région des Pays de la Loire;24-14889;JOUE;['44', '53', '49', '72', '85', '75'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T12:00:00+00:00;GIE des EPL des Pays de la Loire;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14889;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14889.pdf
24-14903;24_14903;;Fourniture et livraison d'outillage à main et outillage électroportatif et filaire pour les besoins du Département de l'Isère;24-14903;JOUE;['38'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T16:00:00+00:00;Département de l'Isère;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['251'];['251'];['Outillage'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14903;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14903.pdf
24-14949;24_14949;;Prestation pour l'hébergement temporaire des bénéficiaires au titre de l'aide sociale;24-14949;JOUE;['93'];;Marchés européens;2024-02-08;2024-02-20;2024-02-20T11:00:00+00:00;Département de la Seine-Saint-Denis;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14949;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14949.pdf
24-15046;24_15046;;Accord-cadre de travaux d'entretien et travaux neufs courants d'assainissement;24-15046;JOUE;['60'];;Marchés européens;2024-02-08;2024-03-11;2024-03-11T11:00:00+00:00;Communauté d'agglomération du Beauvaisis;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['18', '306'];['18', '306'];['Assainissement', 'Réseaux divers'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15046;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15046.pdf
24-15114;24_15114;;Prestations de transports sanitaires terrestres et de transports de personnes pour les établissements de santé du Groupement Hospitalier de Territoire (GHT) 21-52;24-15114;JOUE;['21', '52'];;Marchés européens;2024-02-08;2024-03-12;2024-03-12T10:00:00+00:00;CHU Dijon Bourgogne;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15114;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15114.pdf
24-14853;24_14853;;23TRAV04-MARCHE DE TRAVAUX DE CREATION D'UN RESEAU PLUVIAL SUR LE SECTEUR SIBLAS A TOULON;24-14853;JOUE;['83'];;Marchés européens;2024-02-08;2024-03-18;2024-03-18T15:00:00+00:00;Metropole Toulon-Provence-Mediterranee;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['341', '366'];['341', '366'];['Terrassement', 'Voirie et réseaux divers'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14853;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14853.pdf
24-15107;24_15107;;TRAVAUX DE RENOVATION ENERGETIQUE ET TRAVAUX CONNEXES  DU BATIMENT PAUL BERT;24-15107;JOUE;['73'];;Marchés européens;2024-02-08;2024-03-15;2024-03-15T11:00:00+00:00;Ville de Chambéry;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['169'];['169'];['Isolation'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15107;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15107.pdf
24-14883;24_14883;;ACCORD CADRE ACQUISITION ET MAINTENANCE MATERIELS ET PERIPHERIQUES INFORMATIQUES, AUDIOVISUELS ET VISIOCONFERENCES;24-14883;JOUE;['20B', '20A'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T10:00:00+00:00;CC Pasquale Paoli;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['162'];['162'];['Informatique (matériel)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14883;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14883.pdf
24-14977;24_14977;;Marché composé de deux lots: Papier pour photocopieur et Petites fournitures de bureau.;24-14977;JOUE;['63', '03'];;Marchés européens;2024-02-08;2024-05-06;;Lycée LA FAYETTE CLERMONT FERRAND;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['262'];['262'];['Papeterie'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14977;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14977.pdf
24-14825;24_14825;;"Concours restreint de maîtrise d'oeuvre sur esquisse+ en vue de la construction d'un restaurant neuf ""La Ligurienne"" sur la Base Navale de Toulon.";24-14825;JOUE;['83'];;Marchés européens;2024-02-08;2024-03-13;2024-03-13T10:00:00+00:00;Var Aménagement Développement agissant au nom et pour le compte de l'ESID de Toulon;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;CONCOURS;Avis de marché;Concours;appeloffre/concours;Avis de marché/Concours;;;;INITIAL;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14825;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14825.pdf
24-14851;24_14851;;Construction laboratoire et ateliers;24-14851;JOUE;['01'];;Marchés européens;2024-02-08;2024-02-14;;CT IPC;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['105', '61'];['105', '61'];['Electricité (travaux)', 'Chauffage (travaux)'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14851;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14851.pdf
24-14888;24_14888;;Mission d'accompagnement de la SOLIDEO dans le suivi des projets soutenus par le fonds innovations et écologie;24-14888;JOUE;['75'];;Marchés européens;2024-02-08;2024-03-06;;Cour administrative d'appel de Paris;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['19'];['19'];['Assistance technique'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14888;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14888.pdf
24-14942;24_14942;;Contrôle périodique, maintenance, fourniture et remplacement des matériels et installations de sécurité incendie;24-14942;JOUE;['35'];;Marchés européens;2024-02-08;2024-04-06;;Groupement d'entreprises RENNES SECURITE SERVICE (mandataire) / R2S SSI;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['332'];['332'];['Sécurité incendie'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14942;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14942.pdf
24-15137;24_15137;;Acquisition de matériels pour les activités opérationnelles du service départemental d'incendie et secours de Haute-Garonne;24-15137;JOUE;['31'];;Marchés européens;2024-02-08;2024-02-29;;TRIBUNAL ADMINISTRATIF DE TOULOUSE;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['115'];['115'];['Equipements spécialisés'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15137;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15137.pdf
24-15236;24_15236;;Fourniture, préparation et livraison des médicaments pour les E.H.P.A.D. Frédéric Degeorge et Marie Curie;24-15236;JOUE;['62', '59'];;Marchés européens;2024-02-08;2024-04-08;;SIVOM COMMUNAUTE DU BETHUNOIS;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['275'];['275'];['Produits chimiques'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15236;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15236.pdf
24-15637;24_15637;;OP 1063 Mise en conformité technique des installations de ventilations hygiéniques et spécifiques du bâtiment 5 de chimie Chauffage Ventilation Climatisation;24-15637;FNS;['63'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-07;2024-03-07T12:00:00+00:00;Université Clermont Auvergne;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['33'];['33'];['Bâtiment'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15637;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15637.pdf
24-15641;24_15641;;FONTAINE - Entretien d'espaces verts et complexes sportifs;24-15641;MAPA;['21'];;Marchés <90 k€ (MAPA);2024-02-08;2024-03-07;2024-03-07T12:00:00+00:00;Fontaine-lès-Dijon;;MAPA;PROCEDURE_ADAPTE;;Procédure Adaptée;PROCEDURE_ADAPTE/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['116'];['116'];['Espaces verts'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15641;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15641.pdf
24-15642;24_15642;;N630so - Mobilisation des acteurs du soutien à la parentalité pour le développement du site;24-15642;FNS;['44'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-29;2024-02-29T18:00:00+00:00;Conseil départemental Loire Atlantique;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15642;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15642.pdf
24-15644;24_15644;;22m0565pa - Requalification du chemin de la Violette - L'Union - Scb/Oh;24-15644;FNS;['31'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-05-07;;Toulouse Métropole;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux', 'environnementaux'];;;INITIAL;['366'];['366'];['Voirie et réseaux divers'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15644;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15644.pdf
24-15650;24_15650;;Construction d'un office de tourisme, de bureaux et d'une salle hors-sac à Vars (05560);24-15650;FNS;['05'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-05-07;;Commune de Vars;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['33'];['33'];['Bâtiment'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15650;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15650.pdf
24-15879;24_15879;;Location et pose de tentes et matériels divers pour manifestations organisées par la CCI Réunion;24-15879;FNS;['974'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-04;2024-03-04T13:00:00+00:00;CCI Réunion;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['185'];['185'];['Location (matériels)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15879;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15879.pdf
24-15884;24_15884;;Maintenance des onduleurs de la CPAM du Rhône;24-15884;FNS;['69'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-04-08;2024-03-12T12:00:00+00:00;CPAM DU RHÔNE;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['196', '465'];['196', '465'];['Maintenance', 'Onduleur'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15884;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15884.pdf
24-15892;24_15892;;Elaboration du Dossier d'Autorisation Environnementale Unique pour l'aménagement d'un terre-plein de 7.5 ha à Jarry Sud;24-15892;FNS;['971'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-27;2024-02-27T12:00:00+00:00;Grand Port Maritime Guadeloupe;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15892;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15892.pdf
24-15894;24_15894;;Travaux de réaménagement de la Sente Desnos;24-15894;FNS;['78', '91', '92', '93', '94', '95', '28', '75', '77'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-04;2024-03-04T14:00:00+00:00;Mairie Des Clayes Sous Bois;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['18', '116', '195', '308', '341'];['18', '116', '195', '308', '341'];['Assainissement', 'Espaces verts', 'Maçonnerie', 'Revêtements de sols', 'Terrassement'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15894;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15894.pdf
24-15834;24_15834;;Fourniture d’aliments artificiels ou naturels pour poissons migrateurs;24-15834;JOUE;['47', '33'];;Marchés européens;2024-02-08;2024-04-08;;ASSOCIATION MIGADO;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['7'];['7'];['Aliments pour animaux'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15834;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15834.pdf
24-15663;24_15663;;Création et aménagement d'espaces d'apaisement et de locaux accueils familles dans un Centre Hospitalier;24-15663;FNS;['47'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-13;2024-03-13T12:00:00+00:00;Santé;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['345'];['345'];"[""Tous corps d'état""]";['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15663;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15663.pdf
24-15674;24_15674;;Mission de maîtrise d'oeuvre pour la réhabilitation du RDC et d'une partie des étages R+1 et R+3 du site de CHARLEVILLE MEZIERES de la MSA Marne Ardennes Meuse;24-15674;MAPA;['08'];;Marchés <90 k€ (MAPA);2024-02-08;2024-03-08;2024-03-08T10:00:00+00:00;MSA Marne Ardennes Meuse;;MAPA;PROCEDURE_ADAPTE;;Procédure Adaptée;PROCEDURE_ADAPTE/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15674;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15674.pdf
24-15691;24_15691;;Marché public de maîtrise d'oeuvre pour des travaux de transformation d'une école maternelle en Maison de la Vie Associative et des Citoyens, sise 31 rue Bobillot 75013 Paris;24-15691;FNS;['75'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-04;2024-03-04T10:00:00+00:00;Ville de Paris - Direction Constructions Publiques et Architecture - Section Locale d'Architecture des 5ème et 13ème arrondissements (SLA 5-13) 62 rue Corvisart 75013 Paris;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15691;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15691.pdf
24-16013;24_16013;;Travaux d'opération de Renforcement de la protection mécanique périmétrique du Campus de l'ENSAM PARIS;24-16013;FNS;['75'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-04-06;;ENSAM;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux', 'environnementaux'];;;INITIAL;['478'];['478'];['Sondage (travaux)'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16013;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16013.pdf
24-16030;24_16030;;Travaux de rénovation et embellissement des façades et des travaux de rénovation et réaménagement des cours du Palais Consulaire CCI Toulouse Haute-Garonne;24-16030;FNS;['31'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-02;;23HTEGAR07L;;FNSimple;;;Procédure NC;/;RECTIFICATIF;;Rectificatif;Rectificatif;rectificatif/standard;Rectificatif/;;;;RECTIFICATIF;['195', '264', '321', '105'];['195', '264', '321', '105'];['Maçonnerie', 'Peinture (travaux)', 'Serrurerie', 'Electricité (travaux)'];['TRAVAUX'];['Travaux'];;;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16030;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16030.pdf
24-15742;24_15742;;ENTRETIEN DES RESEAUX D'ASSAINISSEMENT DES BATIMENTS COMMUNAUX DE LA VILLE DE SALON DE PROVENCE;24-15742;FNS;['13', '83', '84', '06', '30', '34', '26'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-29;2024-02-29T17:00:00+00:00;Mairie de Salon de Provence;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['18'];['18'];['Assainissement'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15742;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15742.pdf
24-15911;24_15911;;Délégation de service public: Fourrière automobile;24-15911;MAPA;['83'];;Marchés <90 k€ (MAPA);2024-02-08;2024-03-08;;Ville de Trans en Provence;;MAPA;PROCEDURE_ADAPTE;;Procédure Adaptée;PROCEDURE_ADAPTE/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['451', '138'];['451', '138'];['Fourrière', 'Gardiennage'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15911;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15911.pdf
24-15730;24_15730;;Entretien des espaces verts de SAINT-LOUIS Agglomération pour les années 2024 à 2027 - Relance du lot n°4;24-15730;MAPA;['68'];;Marchés <90 k€ (MAPA);2024-02-08;2024-05-07;;SAINT-LOUIS Agglomération;['AFAPEI SUD ALSACE'];MAPA;PROCEDURE_ADAPTE;;Procédure Adaptée;PROCEDURE_ADAPTE/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['116'];['116'];['Espaces verts'];;;['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15730;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15730.pdf
24-15772;24_15772;;Réhabilitation d'un bâtiment en vue de la création d'une école des danses urbaines-.;24-15772;FNS;['54'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-22;2024-02-22T12:00:00+00:00;Commune de TOMBLAINE;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['345'];['345'];"[""Tous corps d'état""]";['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15772;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15772.pdf
24-16049;24_16049;;Restructuration des zones de change de 2 sections (compris désamiantage de celle du R+5) et création d'un monte-charge le entre les 3 niveaux de la crèche, 78 rue Lauriston - 75016 Paris;24-16049;FNS;['75'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-15;2024-03-13T12:00:00+00:00;VILLE DE PARIS;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['222'];['222'];['Menuiserie'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16049;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16049.pdf
24-16060;24_16060;;Réalisation d'études préalables à la création d'une ZAC sur la commune de Moult-Chicheboville;24-16060;FNS;['14'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;Normandie Aménagement mandataire agissant au nom et pour le compte de la Communauté de Communes Val ès dunes.;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['118'];['118'];['Etude'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16060;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16060.pdf
24-16082;24_16082;;Accord-cadre mono-attributaire à bon de commande pour des Missions d’investigations complémentaires;24-16082;FNS;['978'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-09;2024-03-22T12:00:00+00:00;EEA de Saint-Martin;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['455'];['455'];['Ingénierie'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16082;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16082.pdf
24-16087;24_16087;;Travaux  des milieux aquatiques et des terrains associés;24-16087;FNS;['33'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-08;2024-03-08T16:00:00+00:00;Bordeaux Métropole;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['349'];['349'];"[""Travaux dans l'eau""]";['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-16087;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-16087.pdf
